Business Name,Owner/Contact Name,WhatsApp Number,Facebook Page,Email,Review Count,Business Type,Outreach Status,Notes
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
[Business Name],[Owner Name],[+1-242-XXX-XXXX],[facebook.com/page],[email@domain.com],[#],[boat tour / fishing / snorkel / restaurant / salon / real estate / car rental / other],Not contacted,[]
